===== TOTAL COMPONENTS =====
Total Cargo packages: 1108
Total SBOM components: 1126

===== EDGE METRICS =====
Correct edge coverage: 67.62%
Missing edges: 2005 (32.38%)
False edges: 129 (2.99%)

===== FALSE EDGES =====
axum-server (0.8.0) -> tokio-openssl (0.6.5)
bindgen_cuda (0.1.6) -> glob (0.3.3)
bindgen_cuda (0.1.6) -> num_cpus (1.17.0)
bindgen_cuda (0.1.6) -> rayon (1.11.0)
candle-core (0.9.2) -> candle-kernels (0.9.2)
candle-core (0.9.2) -> cudarc (0.19.4)
candle-kernels (0.9.2) -> bindgen_cuda (0.1.6)
candle-ug (0.9.2) -> ug-cuda (0.5.0)
crypto-bigint (0.5.5) -> generic-array (0.14.7)
crypto-bigint (0.5.5) -> rand_core (0.6.4)
crypto-bigint (0.5.5) -> subtle (2.6.1)
crypto-bigint (0.5.5) -> zeroize (1.8.2)
cudarc (0.17.8) -> half (2.7.1)
cudarc (0.17.8) -> libloading (0.8.9)
cudarc (0.19.4) -> float8 (0.7.0)
cudarc (0.19.4) -> half (2.7.1)
cudarc (0.19.4) -> libloading (0.9.0)
curve25519-dalek (4.1.3) -> cfg-if (1.0.4)
curve25519-dalek (4.1.3) -> cpufeatures (0.2.17)
curve25519-dalek (4.1.3) -> curve25519-dalek-derive (0.1.1)
curve25519-dalek (4.1.3) -> digest (0.10.7)
curve25519-dalek (4.1.3) -> fiat-crypto (0.2.9)
curve25519-dalek (4.1.3) -> rustc_version (0.4.1)
curve25519-dalek (4.1.3) -> subtle (2.6.1)
curve25519-dalek (4.1.3) -> zeroize (1.8.2)
curve25519-dalek-derive (0.1.1) -> proc-macro2 (1.0.106)
curve25519-dalek-derive (0.1.1) -> quote (1.0.45)
curve25519-dalek-derive (0.1.1) -> syn (2.0.117)
ecdsa (0.16.9) -> der (0.7.10)
ecdsa (0.16.9) -> digest (0.10.7)
ecdsa (0.16.9) -> elliptic-curve (0.13.8)
ecdsa (0.16.9) -> rfc6979 (0.4.0)
ecdsa (0.16.9) -> signature (2.2.0)
ecdsa (0.16.9) -> spki (0.7.3)
ed25519 (2.2.3) -> pkcs8 (0.10.2)
ed25519 (2.2.3) -> signature (2.2.0)
ed25519-dalek (2.2.0) -> curve25519-dalek (4.1.3)
ed25519-dalek (2.2.0) -> ed25519 (2.2.3)
ed25519-dalek (2.2.0) -> serde (1.0.228)
ed25519-dalek (2.2.0) -> sha2 (0.10.9)
ed25519-dalek (2.2.0) -> subtle (2.6.1)
ed25519-dalek (2.2.0) -> zeroize (1.8.2)
elliptic-curve (0.13.8) -> base16ct (0.2.0)
elliptic-curve (0.13.8) -> crypto-bigint (0.5.5)
elliptic-curve (0.13.8) -> digest (0.10.7)
elliptic-curve (0.13.8) -> ff (0.13.1)
elliptic-curve (0.13.8) -> generic-array (0.14.7)
elliptic-curve (0.13.8) -> group (0.13.0)
